Date,Price,Open,High,Low,Change %
2006/11/3,7.8712,7.8715,7.8767,7.8692,-0.03%
2006/11/6,7.8775,7.8813,7.8813,7.8775,0.08%
2006/11/7,7.8745,7.8818,7.8818,7.8745,-0.04%
2006/11/8,7.8683,7.8728,7.8728,7.8675,-0.08%
2006/11/9,7.8665,7.8701,7.8701,7.866,-0.02%
2006/11/10,7.8645,7.8666,7.8673,7.8635,-0.03%
2006/11/13,7.8635,7.868,7.8683,7.8635,-0.01%
2006/11/14,7.8665,7.8635,7.8715,7.8635,0.04%
2006/11/15,7.8685,7.8724,7.8724,7.8665,0.03%
2006/11/16,7.8715,7.8719,7.8719,7.8665,0.04%
2006/11/17,7.872,7.8731,7.8735,7.8666,0.01%
2006/11/20,7.874,7.8684,7.874,7.8675,0.03%
2006/11/21,7.8695,7.8691,7.8747,7.8663,-0.06%
2006/11/22,7.8641,7.8644,7.8644,7.8611,-0.07%
2006/11/23,7.863,7.8589,7.863,7.8565,-0.01%
2006/11/24,7.8551,7.8557,7.8557,7.8512,-0.10%
2006/11/27,7.8425,7.8396,7.8432,7.8387,-0.16%
2006/11/28,7.845,7.85,7.8505,7.845,0.03%
2006/11/29,7.8365,7.8392,7.8435,7.8332,-0.11%
2006/11/30,7.8333,7.841,7.8435,7.8309,-0.04%
2006/12/1,7.8305,7.8347,7.8347,7.8295,-0.04%
2006/12/4,7.8275,7.8263,7.8314,7.823,-0.04%
2006/12/5,7.8235,7.8272,7.8304,7.8235,-0.05%
2006/12/6,7.8234,7.8215,7.8238,7.8201,0.00%
2006/12/7,7.8324,7.8266,7.8324,7.8251,0.12%
2006/12/8,7.8245,7.8259,7.8304,7.8245,-0.10%
2006/12/11,7.8293,7.8268,7.835,7.8268,0.06%
2006/12/12,7.8305,7.8313,7.8317,7.8285,0.02%
2006/12/13,7.825,7.8252,7.8309,7.823,-0.07%
2006/12/14,7.8199,7.8186,7.83,7.8173,-0.07%
2006/12/15,7.8279,7.8174,7.8279,7.8161,0.10%
2006/12/18,7.8202,7.8245,7.8301,7.8182,-0.10%
2006/12/19,7.8209,7.8259,7.83,7.8209,0.01%
