,RSI,KD,MA,MACD,Strength,Trend
297,0,1,-2,-1,1,-3
298,0,1,-1,2,1,1
299,-1,-2,-1,1,-3,0
300,-2,-1,-1,1,-3,0
301,0,-1,2,1,-1,3
302,-2,-1,-2,1,-3,-1
303,-1,-1,-1,1,-2,0
304,0,-1,-1,1,-1,0
305,0,-1,2,1,-1,3
306,0,-1,1,1,-1,2
307,0,-1,1,1,-1,2
308,0,-1,-2,1,-1,-1
309,0,2,-1,1,2,0
310,0,1,2,1,1,3
311,0,1,-2,1,1,-1
312,0,1,2,1,1,3
313,0,-2,1,1,-2,2
314,1,-1,1,-2,0,-1
315,2,2,1,-1,4,0
316,1,1,1,-1,2,0
317,1,1,1,-1,2,0
318,2,1,1,-1,3,0
319,0,1,-2,-1,1,-3
320,0,1,-1,-1,1,-2
321,0,1,2,-1,1,1
322,0,1,-2,-1,1,-3
323,0,1,2,-1,1,1
324,0,-2,1,-1,-2,0
325,0,-1,1,-1,-1,0
326,0,-1,-2,-1,-1,-3
327,0,-1,-1,2,-1,1
328,0,-1,-1,1,-1,0
329,-1,2,-1,1,1,0
330,-2,-2,-1,1,-4,0
331,-1,-1,-1,1,-2,0
332,0,-1,2,1,-1,3
333,0,-1,1,1,-1,2
334,0,-1,-2,1,-1,-1
335,0,-1,-1,1,-1,0
336,0,-1,-1,1,-1,0
337,-1,-1,-1,1,-2,0
338,-1,-1,2,1,-2,3
339,-2,-1,-2,1,-3,-1
340,-1,-1,-1,1,-2,0
341,-2,-1,-1,1,-3,0
342,-2,-1,-1,1,-3,0
343,-2,2,-1,1,0,0
344,-2,1,-1,1,-1,0
345,-1,1,2,1,0,3
346,-1,1,-2,1,0,-1
347,0,1,-1,1,1,0
348,0,-2,-1,1,-2,0
349,0,2,-1,1,2,0
350,0,1,2,1,1,3
351,-1,1,-2,1,0,-1
352,-1,1,-1,1,0,0
353,-1,-2,-1,1,-3,0
354,0,-1,2,1,-1,3
355,0,-1,1,1,-1,2
356,0,-1,-2,1,-1,-1
357,0,-1,-1,1,-1,0
358,0,-1,-1,1,-1,0
359,0,-1,-1,1,-1,0
360,-2,-1,-1,1,-3,0
361,0,2,2,-2,2,0
362,0,1,1,-1,1,0
363,0,1,-2,-1,1,-3
364,0,1,-1,-1,1,-2
365,0,1,-1,-1,1,-2
366,0,1,-1,-1,1,-2
367,-2,1,-1,-1,-1,-2
368,0,1,2,-1,1,1
369,0,1,-2,-1,1,-3
370,0,1,2,-1,1,1
371,0,1,1,-1,1,0
372,0,1,1,-1,1,0
373,1,1,1,-1,2,0
374,0,1,1,-1,1,0
375,0,1,-2,-1,1,-3
376,0,-2,-1,-1,-2,-2
377,0,-1,-1,-1,-1,-2
378,0,-1,-1,-1,-1,-2
379,-2,-1,-1,-1,-3,-2
380,-2,-1,-1,2,-3,1
381,-2,-1,-1,1,-3,0
382,-2,-1,-1,1,-3,0
383,-2,2,-1,1,0,0
384,-2,1,-1,1,-1,0
385,-2,1,-1,1,-1,0
386,-2,1,-1,1,-1,0
387,-2,1,-1,1,-1,0
388,-2,1,-1,1,-1,0
389,-2,1,-1,1,-1,0
390,-1,1,-1,1,0,0
391,-1,1,-1,1,0,0
392,-1,1,-1,1,0,0
393,0,1,2,1,1,3
394,0,-2,-2,1,-2,-1
395,1,-1,2,1,0,3
396,1,2,1,-2,3,-1
397,2,1,1,-1,3,0
398,0,-2,-2,-1,-2,-3
399,0,-1,-1,-1,-1,-2
400,0,-1,-1,-1,-1,-2
401,0,-1,-1,-1,-1,-2
402,0,-1,2,-1,-1,1
403,0,-1,-2,-1,-1,-3
404,0,2,-1,-1,2,-2
405,0,1,-1,-1,1,-2
406,0,1,-1,-1,1,-2
407,0,1,2,-1,1,1
408,0,-2,1,-1,-2,0
409,0,2,-2,-1,2,-3
410,0,1,2,-1,1,1
411,0,1,-2,-1,1,-3
412,0,1,-1,-1,1,-2
413,0,1,-1,-1,1,-2
414,-2,1,-1,-1,-1,-2
415,0,1,2,-1,1,1
416,0,1,-2,-1,1,-3
417,0,-2,2,-1,-2,1
418,0,-1,1,-1,-1,0
419,0,-1,-2,-1,-1,-3
420,0,2,-1,-1,2,-2
421,-1,-2,-1,2,-3,1
422,-1,-1,-1,1,-2,0
423,-2,-1,-1,1,-3,0
424,0,-1,2,1,-1,3
425,0,2,1,1,2,2
426,0,1,1,-2,1,-1
427,2,1,1,-1,3,0
428,1,1,1,-1,2,0
429,0,-2,-2,-1,-2,-3
430,0,2,2,-1,2,1
431,0,1,1,-1,1,0
432,0,-2,1,-1,-2,0
433,0,-1,1,-1,-1,0
434,0,-1,-2,-1,-1,-3
435,1,-1,2,-1,0,1
436,0,-1,-2,-1,-1,-3
437,0,2,-1,-1,2,-2
438,0,1,-1,-1,1,-2
439,-1,1,-1,-1,0,-2
440,0,1,-1,2,1,1
441,-2,-2,-1,1,-4,0
442,-2,-1,-1,1,-3,0
443,0,-1,2,-2,-1,0
444,0,2,1,-1,2,0
445,0,1,1,-1,1,0
446,0,-2,-2,-1,-2,-3
447,0,-1,-1,-1,-1,-2
448,0,-1,2,-1,-1,1
449,0,-1,1,-1,-1,0
450,0,-1,1,-1,-1,0
451,0,-1,1,-1,-1,0
452,1,-1,1,-1,0,0
453,1,-1,1,-1,0,0
454,1,-1,1,-1,0,0
455,2,-1,1,-1,1,0
456,0,-1,1,-1,-1,0
457,0,-1,-2,-1,-1,-3
458,0,-1,-1,-1,-1,-2
459,0,-1,-1,2,-1,1
460,-2,-1,-1,1,-3,0
461,-2,-1,-1,1,-3,0
462,-2,-1,-1,1,-3,0
463,-2,-1,-1,1,-3,0
464,-1,-1,2,1,-2,3
465,0,2,1,1,2,2
466,0,1,1,1,1,2
467,1,1,1,1,2,2
468,0,1,1,1,1,2
469,0,-2,-2,1,-2,-1
470,0,2,-1,1,2,0
471,0,1,-1,1,1,0
472,0,-2,-1,1,-2,0
473,-1,2,-1,1,1,0
474,0,1,-1,1,1,0
475,0,-2,-1,1,-2,0
476,-2,-1,-1,1,-3,0
477,0,-1,2,1,-1,3
478,0,-1,1,-2,-1,-1
479,2,-1,1,-1,1,0
480,2,-1,1,-1,1,0
481,1,-1,1,-1,0,0
482,0,-1,-2,-1,-1,-3
483,1,2,2,-1,3,1
484,0,1,-2,-1,1,-3
485,0,-2,-1,-1,-2,-2
486,-1,-1,-1,-1,-2,-2
487,0,-1,-1,-1,-1,-2
488,0,-1,-1,2,-1,1
489,-1,-1,2,1,-2,3
490,0,-1,1,-2,-1,-1
491,0,-1,-2,2,-1,0
492,0,-1,-1,1,-1,0
493,0,-1,-1,1,-1,0
494,0,-1,2,1,-1,3
495,-1,2,-2,1,1,-1
496,0,-2,2,1,-2,3
497,0,2,-2,1,2,-1
498,0,-2,2,1,-2,3
499,0,-1,1,-2,-1,-1
500,0,-1,-2,-1,-1,-3
501,1,-1,2,-1,0,1
502,0,2,-2,-1,2,-3
503,0,1,-1,-1,1,-2
504,0,1,-1,-1,1,-2
505,0,-2,-1,2,-2,1
506,0,-1,-1,1,-1,0
507,-1,2,2,1,1,3
508,0,1,1,-2,1,-1
509,0,1,1,-1,1,0
510,0,1,-2,2,1,0
511,0,-2,-1,1,-2,0
512,0,-1,2,-2,-1,0
513,0,2,-2,2,2,0
